
2024/09/05 (22:55:32) | ===> btop++ v.1.3.2
2024/09/05 (22:55:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/05 (22:55:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/06 (15:43:25) | ===> btop++ v.1.3.2
2024/09/06 (15:43:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/06 (15:43:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/06 (15:44:36) | ===> btop++ v.1.3.2
2024/09/06 (15:44:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/06 (15:44:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/06 (17:49:27) | ===> btop++ v.1.3.2
2024/09/06 (17:49:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/06 (17:49:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/06 (18:14:59) | ===> btop++ v.1.3.2
2024/09/06 (18:14:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/06 (18:14:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/06 (18:19:04) | ===> btop++ v.1.3.2
2024/09/06 (18:19:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/06 (18:19:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/06 (18:20:22) | ===> btop++ v.1.3.2
2024/09/06 (18:20:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/06 (18:20:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/06 (18:20:40) | ===> btop++ v.1.3.2
2024/09/06 (18:20:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/06 (18:20:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
