alacritty 0.13.2-2
alsa-utils 1.2.12-1
amd-ucode 20240809.59460076-1
arch-install-scripts 28-2
archlinux-keyring 20240709-2
avahi 1:0.8+r194+g3f79789-2
b43-fwcutter 019-5
base 3-2
bash-completion 2.14.0-2
bcachefs-tools 3:1.11.0-1
bind 9.20.0-1
breeze-gtk 6.1.4-1
brltty 6.6-11
btrfs-progs 6.10.1-1
cachy-browser 129.0.1-1
cachy-chroot 1.2.0-1
cachyos-calamares-qt6-grub 3.3.8-6
cachyos-cli-installer-new 0.8.4-1
cachyos-fish-config 14-1
cachyos-hello 0.14.8-1
cachyos-hooks 2024.03-1
cachyos-kde-settings 4.2-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 18-1
cachyos-rate-mirrors 7-1
cachyos-settings 1:1.0.7-1
cachyos-themes-sddm 1.0-1
cachyos-v3-mirrorlist 18-1
cachyos-v4-mirrorlist 6-1
chwd 1.8.8-1
ckbcomp 1.226-1
clonezilla 5.6.13-1
cloud-init 24.1-2
cryptsetup 2.7.4-1
darkhttpd 1.16-1
ddrescue 1.28-1
dhclient 4.4.3.P1-3
dhcpcd 10.0.8-1
diffutils 3.10-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.90-1
dolphin 24.05.2-1
dosfstools 4.2-4
e2fsprogs 1.47.1-4
edk2-shell 202311-1
efibootmgr 18-3
ethtool 1:6.9-1
exfatprogs 1.2.5-1
f2fs-tools 1.16.0-3
fatresize 1.1.0-2
fd 10.2.0-1
github-cli 2.55.0-1
gnu-netcat 0.7.1-10
gpart 0.3-5
gparted 1.6.0-1
gptfdisk 1.0.10-1
grub 2:2.12-2
haveged 1.9.18-2
hyperv 6.10-3
imwheel 1.0.0pre12-7
inetutils 2.5-1
intel-ucode 20240813-2
inxi 3.3.35.1-1
irssi 1.4.5-3
iw 6.9-1
iwd 2.19-1
jfsutils 1.1.15-9
kde-gtk-config 6.1.4-1
konsole 24.05.2-1
kscreen 6.1.4-1
ldns 1.8.3-2
less 1:661-1
lftp 4.9.2-2
libfido2 1.15.0-1
libusb-compat 0.1.8-1
libwnck3 43.0-3
linux-atm 2.5.2-9
linux-cachyos 6.10.5-1
linux-cachyos-nvidia 6.10.5-1
linux-cachyos-zfs 6.10.5-1
linux-firmware 20240809.59460076-1
linux-firmware-marvell 20240809.59460076-1
lsb-release 2.0.r53.a86f885-2
lsscsi 0.32-2
lvm2 2.03.25-2
lynx 2.9.2-1
mc 4.8.31-3
mdadm 4.3-2
memtest86+ 7.00-1
memtest86+-efi 7.00-1
mesa 1:24.2.0-1
micro 2.0.13-1
mkinitcpio 39.2-2
mkinitcpio-archiso 71-1
mkinitcpio-nfs-utils 0.3-8
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
mtools 1:4.0.44-1
nano 8.1-1
nano-syntax-highlighting 2020.10.10-2
nbd 3.26.1-1
ndisc6 1.0.8-1
net-tools 2.10-2
networkmanager 1.48.8-1
